"KEGGID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","KEGGClassNames","Genes"
"00061",0.037889620808234,7.7270732777534,2.35991045290167,5,6,"Fatty acid biosynthesis","Metabolism; Lipid metabolism","ACACA, ACACB, FASN, MCAT, OLAH"
"03015",0.00754472484824379,1.7547619047619,32.6454279318064,44,83,"mRNA surveillance pathway","Genetic Information Processing; Translation","CSTF3, ETF1, GSPT1, PABPC3, PPP2CA, PPP2R1A, PPP2R1B, PPP2R2A, PPP2R3A, PPP2R5A, PPP2R5B, PPP2R5C, PPP2R5D, PPP2R5E, UPF1, DDX39B, PABPN1, SYMPK, PABPC4, EIF4A3, NXF1, HBS1L, PAPOLA, CLP1, NUDT21, NCBP2, ACIN1, SMG1, CSTF2T, SMG5, UPF2, PABPC1, PPP2R3B, NXT1, CPSF1, PCF11, PELO, PPP2R3C, MAGOHB, PAPOLG, UPF3B, CPSF7, PYM1, MSI2"
"04920",0.0152329869063899,1.74705293594306,26.7456517995523,36,68,"Adipocytokine signaling pathway","Organismal Systems; Endocrine system","ACACB, AKT1, AKT2, CHUK, CPT1A, ACSL1, ACSL4, MTOR, IKBKB, IRS1, JAK2, LEPR, NFKB1, NFKBIA, NFKBIB, NFKBIE, PCK2, PPARA, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKCQ, MAPK8, MAPK9, MAPK10, PTPN11, RELA, STAT3, TNFRSF1A, TNFRSF1B, TRAF2, TRADD, PRKAG2, ACSL5, ADIPOR2"
"05215",0.0115311876389326,1.66344535195461,35.0053383847081,46,89,"Prostate cancer","Human Diseases; Cancer: specific types","AKT1, AKT2, ATF4, BAD, BRAF, CASP9, CDKN1A, CDKN1B, CHUK, CREB1, CTNNB1, E2F1, E2F3, EGF, EGFR, EP300, ERBB2, FGFR1, FOXO1, MTOR, GRB2, GSTP1, HRAS, HSP90AA1, HSP90AB1, IKBKB, MDM2, NFKB1, NFKBIA, NKX3-1, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, MAPK3, MAP2K1, MAP2K2, PTEN, RAF1, RELA, SOS2, TCF7L2, CREB3, CREB3L2, TCF7L1"
"00010",0.0394641945944821,1.59933085295424,25.5656965731014,33,65,"Glycolysis / Gluconeogenesis","Metabolism; Carbohydrate metabolism","ADH5, ALDH2, ALDH1A3, ALDH3B1, ALDH9A1, ALDH3A2, ALDOA, ALDOC, ALDH7A1, BPGM, DLAT, ENO2, ENO3, FBP1, GAPDH, GPI, HK1, HK2, LDHA, LDHB, PCK2, PDHA1, PDHB, PFKM, PGAM1, PGK1, PGM1, PKM, AKR1A1, PGM2, ACSS2, ADPGK, GALM"
"05140",0.0351144594698083,1.5969842805953,27.1389702083692,35,69,"Leishmaniasis","Human Diseases; Infectious disease: parasitic","MAPK14, CYBA, ELK1, HLA-DMB, HLA-DOA, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, IFNGR1, IFNGR2, IRAK1, ITGB1, ITGB2, JAK1, JAK2, MYD88, NCF4, NFKB1, NFKBIA, NFKBIB, MAPK3, MAPK13, PTPN6, RELA, STAT1, TGFB3, TLR2, TLR4, TRAF6, IRAK4, MARCKSL1"
"04662",0.0295151706913441,1.59404105797694,29.4988806612709,38,75,"B cell receptor signaling pathway","Organismal Systems; Immune system","AKT1, AKT2, CD81, CHUK, GRB2, HRAS, IKBKB, INPP5D, LYN, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NFKBIE, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLCG2, PPP3CA, PPP3R1, MAPK3, MAP2K1, MAP2K2, PTPN6, RAC2, RAC3, RAF1, RELA, SOS2, SYK, VAV2, NFAT5, CHP1, RASGRP3, DAPP1"
"03008",0.0295151706913441,1.59404105797694,29.4988806612709,38,75,"Ribosome biogenesis in eukaryotes","Genetic Information Processing; Translation","CSNK2A1, FBL, RNR1, RNR2, SNU13, XPO1, UTP14C, RCL1, POP7, NXF1, NOP56, RPP30, RPP40, WDR3, XRN2, WDR43, MDN1, REXO2, GNL3, NOB1, NXT1, UTP18, SBDS, POP5, NOP58, GAR1, XRN1, RPP25, RBM28, IMP3, LSG1, NOP10, NHP2, RIOK2, REXO1, EFL1, RPP25L, SPATA5"
"05222",0.0221679576045435,1.59030832324005,33.4320647494403,43,85,"Small cell lung cancer","Human Diseases; Cancer: specific types","AKT1, AKT2, APAF1, BIRC2, BIRC3, BCL2L1, CASP9, CDKN1B, CDKN2B, CHUK, CKS1B, COL4A1, COL4A2, COL4A5, E2F1, E2F3, FHIT, IKBKB, ITGA6, ITGA3, ITGB1, LAMA3, LAMA5, LAMC1, MAX, NFKB1, NFKBIA, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PTEN, PTK2, RELA, TRAF1, TRAF2, TRAF3, TRAF5, TRAF6, PIAS1, TRAF4, PIAS4, CYCS"
"04120",0.00549717370535355,1.58284390322754,53.0979851902876,68,135,"Ubiquitin mediated proteolysis","Genetic Information Processing; Folding, sorting and degradation","BIRC2, BIRC3, CBL, CBLB, CDC20, DDB1, DDB2, UBE2K, MDM2, MAP3K1, MID1, TRIM37, PRKN, PML, SIAH1, SKP1, ELOB, TRAF6, UBA1, UBE2A, UBE2D1, UBE2E1, UBE2E2, UBE2G1, UBE2G2, UBE2H, UBE2I, UBE2L3, VHL, CUL5, CUL4B, CUL3, CUL2, PIAS1, SOCS1, UBE2L6, UBE4A, RNF7, HUWE1, STUB1, UBE2E3, UBOX5, TRIM32, RHOBTB2, FBXW11, MGRN1, NEDD4L, CBLC, ANAPC13, RCHY1, FBXO2, FBXO4, UBE2S, PRPF19, ANAPC2, ANAPC4, UBR5, ANAPC5, ANAPC11, PIAS4, UBE2R2, SMURF1, UBE2O, SMURF2, UBE2Z, UBE2J2, UBE2F, CDC26"
"04070",0.0350510542326689,1.55189309576837,30.6788358877217,39,78,"Phosphatidylinositol signaling system","Environmental Information Processing; Signal transduction","DGKA, IMPA1, IMPA2, INPP4A, INPP5A, INPP5B, INPP5D, ITPK1, ITPKB, ITPR1, ITPR2, OCRL, PIK3C2A, PIK3C2B, PIK3C2G, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PI4KA, PIP4K2A, PLCB2, PLCG1, PLCG2, PTEN, DGKZ, DGKD, CDS2, SYNJ2, PIP5K1C, INPP5J, PLCE1, INPP5K, CALML5, PI4K2A, INPP5E, PIP4K2C, PLCD3, PIKFYVE"
"04370",0.0371507557923964,1.55164737310775,29.8921990700878,38,76,"VEGF signaling pathway","Environmental Information Processing; Signal transduction","AKT1, AKT2, BAD, CASP9, CDC42, MAPK14, HRAS, NFATC1, NFATC2, NRAS, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PLA2G4A, PLCG1, PLCG2, PPP3CA, PPP3R1, MAPK3, MAPK13, MAP2K1, MAP2K2, PTK2, PXN, RAC2, RAC3, RAF1, SRC, VEGFA, PLA2G6, SPHK1, MAPKAPK2, NFAT5, CHP1, SHC2, PLA2G3, PLA2G12A"
"04146",0.0435734142212539,1.51266146993318,31.0721542965387,39,79,"Peroxisome","Cellular Processes; Transport and catabolism","ACOX1, CRAT, EHHADH, EPHX2, ACSL1, ACSL4, HMGCL, IDH1, IDH2, MVK, PRDX1, PEX1, PEX6, PEX7, PEX10, PEX13, PEX14, ABCD3, PXMP2, PEX5, SCP2, SOD1, SOD2, XDH, ACOX3, AGPS, ACOT8, SLC25A17, PMVK, PXMP4, MLYCD, PRDX5, DECR2, ACSL5, PEX26, NUDT12, MPV17L, GSTK1, NUDT19"
"04145",0.0223701919470653,1.41700557312848,58.6044429137248,71,149,"Phagosome","Cellular Processes; Transport and catabolism","ACTB, ATP6V1A, ATP6V1B2, ATP6V1C1, ATP6V1E1, ATP6V0B, ATP6V0A1, ATP6AP1, C1R, CD14, CTSL, CTSS, CYBA, CYBB, DYNC1H1, DYNC1LI2, HLA-A, HLA-B, HLA-C, HLA-DMB, HLA-DOA, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-E, HLA-F, HLA-G, ITGB1, ITGB2, ITGB5, LAMP1, LAMP2, MSR1, NCF4, RAB5A, RAB5B, RAB5C, TAP1, TAP2, TFRC, THBS1, THBS3, THBS4, TLR2, TLR4, TUBA4A, TUBA1A, RAB7A, EEA1, STX7, ATP6V0E1, ATP6V1F, VAMP3, TCIRG1, TLR6, SEC61B, PLA2R1, SEC61G, ATP6V0A2, STX12, SEC61A1, DYNC1LI1, ATP6V1H, STX18, SEC61A2, CLEC7A, PIKFYVE"
